object_id,class_name,category,num_views,overlap_frames,well_aligned
0,car,vehicle,8,431,1
1,person,person,8,13,1
2,bicycle,vehicle,1,0,0
3,person,person,1,0,0
4,person,person,1,0,0
5,person,person,1,0,0
6,person,person,1,0,0
7,bicycle,vehicle,1,0,0
8,person,person,1,0,0
9,person,person,1,0,0
10,person,person,1,0,0
11,car,vehicle,1,0,0
12,car,vehicle,1,0,0
13,truck,vehicle,1,0,0
14,person,person,1,0,0
15,car,vehicle,1,0,0
16,person,person,2,17,1
17,person,person,1,0,0
18,person,person,1,0,0
19,person,person,1,0,0
20,car,vehicle,1,0,0
21,truck,vehicle,1,0,0
22,person,person,1,0,0
23,truck,vehicle,1,0,0
24,person,person,1,0,0
